Wk,Day,Date,Time,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sun,2021-12-05,14:00 (18:30),Rayo Vallecano,0.5,1–0,0.5,Espanyol,8679,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
16,Sun,2021-12-05,16:15 (20:45),Elche,2.3,3–1,1.5,Cádiz,11879,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
16,Sun,2021-12-05,18:30 (23:00),Levante,0.5,0–0,0.3,Osasuna,15361,Estadio Ciudad de Valencia,Valentín Pizarro,Match Report,
16,Sun,2021-12-05,21:00 (01:30),Celta Vigo,0.6,1–2,1.5,Valencia,11361,Estadio de Balaídos,Ricardo de Burgos,Match Report,
16,Mon,2021-12-06,21:00 (01:30),Getafe,1.1,0–0,0.5,Athletic Club,9176,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
17,Fri,2021-12-10,21:00 (01:30),Mallorca,0.7,0–0,1.3,Celta Vigo,10655,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
17,Sat,2021-12-11,14:00 (18:30),Espanyol,2.3,4–3,2.8,Levante,15193,RCDE Stadium,Adrián Cordero,Match Report,
17,Sat,2021-12-11,16:15 (20:45),Alavés,0.7,1–1,1,Getafe,10065,Estadio de Mendizorroza,César Soto,Match Report,
17,Sat,2021-12-11,18:30 (23:00),Valencia,1.7,2–1,1,Elche,31662,Estadio de Mestalla,Santiago Jaime,Match Report,
17,Sat,2021-12-11,21:00 (01:30),Athletic Club,1.8,0–1,0.2,Sevilla,36737,San Mamés,Alejandro Hernández,Match Report,
17,Sun,2021-12-12,14:00 (18:30),Villarreal,2.3,2–0,1.7,Rayo Vallecano,13133,Estadio de la Cerámica,Mario Melero,Match Report,
17,Sun,2021-12-12,16:15 (20:45),Osasuna,0.3,2–2,1,Barcelona,21427,Estadio El Sadar,Juan Martínez,Match Report,
17,Sun,2021-12-12,18:30 (23:00),Betis,1.5,4–0,1.4,Real Sociedad,52158,Estadio Benito Villamarín,José Sánchez,Match Report,
17,Sun,2021-12-12,21:00 (01:30),Real Madrid,0.6,2–0,0.7,Atlético Madrid,51024,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
17,Mon,2021-12-13,21:00 (01:30),Cádiz,0.7,1–1,1.5,Granada,13052,Estadio Nuevo Mirandilla,Miguel Ángel Ortiz Arias,Match Report,
,,,,,,,,,,,,,
18,Fri,2021-12-17,21:00 (01:30),Celta Vigo,1.4,3–1,0.4,Espanyol,9526,Estadio de Balaídos,Valentín Pizarro,Match Report,
18,Sat,2021-12-18,14:00 (18:30),Rayo Vallecano,1.7,2–0,0.3,Alavés,7911,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
18,Sat,2021-12-18,16:15 (20:45),Real Sociedad,1.3,1–3,2.8,Villarreal,29679,Estadio Municipal de Anoeta,Jorge Figueroa,Match Report,
18,Sat,2021-12-18,18:30 (23:00),Barcelona,2.9,3–2,1.1,Elche,41664,Camp Nou,Alberola Rojas,Match Report,
18,Sat,2021-12-18,21:00 (01:30),Sevilla,0.4,2–1,0.8,Atlético Madrid,33241,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
18,Sun,2021-12-19,14:00 (18:30),Granada,1.7,4–1,1,Mallorca,13014,Estadio Nuevo Los Cármenes,Alejandro Muñíz,Match Report,
